2019,2020,2021,2022,2023,2024,2025
41.20094,38.66779,45.85505,60.79437,173.34291,105.04877,49.4243
37.61363,38.0186,39.79589,54.7966,161.75032,102.56648,49.78464
35.22063,35.40952,34.52475,51.27099,158.66483,98.03139,48.84645
35.42243,34.00325,32.64444,47.76253,141.74001,79.86407,54.55356
32.77991,34.62423,31.96154,46.93113,135.93954,79.98083,51.67245
31.54159,35.10725,31.36994,46.29393,134.72378,79.28261,51.67095
33.44816,35.21697,31.39821,46.21143,134.98788,79.19644,51.60966
35.69552,35.67765,32.78611,47.43542,136.8979,86.36084,53.6479
36.75871,36.02778,37.51005,56.83023,153.52723,92,54.63386
39.10812,37.56166,48.86485,69.85924,177.47914,103.86538,54.64284
38.09441,36.11853,51.38474,75.06586,177.25282,109.11111,51.79471
39.23628,30.86,39.28833,54.56169,146.04394,101.99101,26.50484
37.59695,26.41209,32.09822,45.68726,139.06139,94.71613,25.29779
36.74942,24.11165,31.16318,43.63527,135.15278,92.33361,23.03595
34.59568,20,28.44392,42.36452,131.15803,87.83354,18.95825
33.99384,19.29058,25.38027,39.39427,130.10104,85.99724,15.18009
34.69288,18.68339,25.66808,39.05,127.761,82.4518,14.52277
34.0224,21.07331,28.20775,42.38857,130.62292,88.9378,21.66839
36.57742,31.40507,33.70016,50.68507,148.44295,98.0067,33.08655
40.88231,37.35164,46.72139,67.13712,173.5401,98.62389,55.89475
51.75267,41.97322,65.24573,83.89803,184.49097,99.91774,58.10607
50.30193,47.22,57.75431,78.17701,179.95168,97.11829,58.06296
48.20573,39.00924,52.40644,72.03923,173.32005,96.19244,57.35093
43.18157,37.41274,44.04848,66.22126,165.17435,95.93849,56.84984
42.00913,36.30563,40.22722,60.27356,154.28766,88.54871,56.49456
38.82894,35.22616,36.47278,55.84969,152.76776,88.34234,55.88559
37.49345,35.18633,34.6977,51.90215,147.8508,78.88221,53.42775
36.62849,29.8641,31.48576,49.02,181.45128,189.27268,55.61033
35.43567,29.19432,30.59261,48.54488,177.93948,173.60373,52.9757
34.93154,28.53766,29.85596,47.07491,178.02461,171.61945,52.20547
35.34975,29.08116,29.88655,47.60732,180.03468,171.39728,51.5648
35.44509,30.9045,30.9629,48.89505,185.99162,171.21907,53.09451
38.15015,36.59492,36.64828,56.9335,210.75522,189.45069,58.07476
38.29448,47.87389,46.68728,69.32017,236.75236,190.23294,57.99612
37.15903,45.22994,49.22586,79.6619,232.31083,185.74563,65.53968
32.56399,37.05725,37.92147,63.27698,209.94321,176.78069,46.64315
30.72457,31.43,30.17396,54.94646,199.72155,190.48632,35.08309
29.18875,30.96979,25.8786,51.55842,193.84788,180.73339,31.09292
26.84913,30.08151,24.51909,48.73497,183.95609,173.13031,27.7191
26.06722,27.8439,21.59338,48.29309,181.29946,167.34651,25.66558
29.28692,25.60571,21.69622,48.03768,179.04918,165.5824,24.33362
30.35444,30.25819,23.07907,49.66815,183.05627,174.85641,26.90588
37.6247,35.50243,30.43365,55.5152,200.02262,188.87611,38.27475
41.70105,42.08323,43.2398,68.22322,229.50514,202.30949,53.9052
52.80031,57.5208,60.01765,83.69122,236.48565,201.12289,59.77953
54.68337,55.43017,52.58086,76.48678,230.00212,199.4671,61.69413
50.15982,54.07341,43.8059,70.10925,222.244,196.9636,62.60529
44.04703,50.99527,41.84432,64.28464,214.34843,198.63124,59.64228
40.40783,44.82938,41.06155,58.58066,199.16551,196.29979,59.40585
38.83467,36.34787,34.63482,53.28498,197.09486,185.73455,58.302
36.73343,34.44391,33.19807,51.52535,190.86538,183.51853,58.20794
34.72552,30.27043,31.57363,48.4168,146.1325,177.12092,66.19138
33.26514,28.47266,31.76416,48.07556,137.8537,174.94002,62.2906
32.09079,27.54126,30.42421,46.82664,131.96999,168.58771,60.24929
31.96192,28.21944,30.72255,47.9529,127.75721,169.14333,60.22293
34.78595,30.61565,30.41102,49.02,131.09561,168.17136,61.36096
38.48709,35.09246,36.06,55.14872,132.79878,174.87474,66.73902
46.93344,48.76262,48.06328,64.90465,135.49182,184.73276,74.11782
