2019,2020,2021,2022,2023,2024,2025
26.4849,15.29809,21.67476,35.962,131.15075,38.72829,-3.5201
29.65275,18.71441,24.39425,39.11508,138.40157,41.95172,-2.16383
36.4574,32.18143,31.09813,51.37158,159.63001,69.78442,7.94426
44.65988,43.97213,42.52041,70.1549,193.99761,101.0834,43.88606
63.19601,66.60162,58.14393,85.0097,204.16244,108.32263,48.58812
56.54486,49.31055,54.75,76.22759,193.97425,108.79477,48.69421
50.84494,51.24831,54.83318,70.47428,191.83674,106.68346,48.30887
42.9832,44.29988,46.89115,65.64966,190.55419,105.89947,48.53552
40.23568,43.23422,43.63215,61.28958,180.22778,105.00994,48.54152
36.62995,37.73386,37.98434,54.45774,169.24275,102.12785,48.36294
34.46829,34.94054,33.59,50.79635,167.42814,97.15315,47.73717
35.42598,33.72153,31.83566,46.56976,142.12298,78.50756,54.08671
32.3663,34.18656,31.32876,45.95611,136.38859,78.04107,52.17289
31.02251,34.44564,30.86889,45.19659,134.58924,76.81329,51.91792
32.88776,34.32236,30.86904,45.03084,135.16336,77.06783,51.84749
35.06953,34.55624,32.18841,46.83181,137.39143,84.16474,53.70195
36.00571,35.02829,36.32207,56.42199,153.92672,89.13923,54.22562
38.88572,36.43173,47.43516,68.4485,181.04629,101.15352,54.38965
37.42622,34.61418,48.68251,71.68709,175.35255,88.46411,50.39279
38.4098,29.21359,35.32848,51.98296,142.88413,60.48074,19.02037
36.89312,22.17851,29.65422,41.14805,133.11732,51.42434,-1.32599
36.32537,17.51281,28.65093,38.92928,128.64747,42.76846,-2.40796
33.78239,11.90125,26.23727,33.5,125.90864,36.30211,-3.44684
33.26435,12.06211,23.45826,33.55001,124.63418,32.12883,-3.67748
33.82333,10.38178,23.67981,34.48,121.73453,28.02188,-4.60416
33.17302,14.82223,25.66116,41.2138,125.6535,29.82346,-3.37871
35.78148,29.52454,31.26334,50.29522,144.99999,54.26087,16.29261
40.29688,38.61376,44.76572,67.52843,170.90836,85.50635,54.47075
51.19064,49.13231,62.76432,82.25492,183.99398,92.68183,57.76431
50.16591,48.09989,55.39573,76.00543,178.71595,93.18814,57.26828
47.15083,43.02961,50.46851,70.49452,172.12962,92.53548,56.54999
42.33823,38.72256,42.23185,65.41874,166.11764,91.48334,56.62198
41.0816,36.3202,38.68593,59.78163,155.82139,88.95801,56.47853
